series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
teenage-mercenary,Teenage Mercenary,21,episode-000021-episode-20,"Episode 20 Oct 26, 2021 like 138,647 #21",611,262,349,0.5711947626841244,690,42,584,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-20/viewer?title_no=2677&episode_no=21
teenage-mercenary,Teenage Mercenary,35,episode-000035-episode-34,"Episode 34 Feb 1, 2022 like 118,501 #35",618,273,345,0.558252427184466,690,39,589,1,https://www.webtoons.com/en/action/teenage-mercenary/episode-34/viewer?title_no=2677&episode_no=35
teenage-mercenary,Teenage Mercenary,36,episode-000036-episode-35,"Episode 35 Feb 8, 2022 like 116,491 #36",592,245,347,0.5861486486486487,690,39,564,1,https://www.webtoons.com/en/action/teenage-mercenary/episode-35/viewer?title_no=2677&episode_no=36
teenage-mercenary,Teenage Mercenary,41,episode-000041-episode-40,"Episode 40 Mar 15, 2022 like 110,286 #41",578,220,358,0.6193771626297578,690,55,553,1,https://www.webtoons.com/en/action/teenage-mercenary/episode-40/viewer?title_no=2677&episode_no=41
teenage-mercenary,Teenage Mercenary,51,episode-000051-episode-50,"Episode 50 May 24, 2022 like 103,668 #51",595,248,347,0.5831932773109244,690,50,569,1,https://www.webtoons.com/en/action/teenage-mercenary/episode-50/viewer?title_no=2677&episode_no=51
teenage-mercenary,Teenage Mercenary,70,episode-000070-episode-69,"Episode 69 Oct 4, 2022 like 92,279 #70",523,185,338,0.6462715105162524,690,39,496,2,https://www.webtoons.com/en/action/teenage-mercenary/episode-69/viewer?title_no=2677&episode_no=70
teenage-mercenary,Teenage Mercenary,79,episode-000079-episode-78,"Episode 78 Oct 13, 2022 like 88,718 #79",516,179,337,0.6531007751937985,690,39,489,2,https://www.webtoons.com/en/action/teenage-mercenary/episode-78/viewer?title_no=2677&episode_no=79
teenage-mercenary,Teenage Mercenary,96,episode-000096-episode-95,"Episode 95 Dec 27, 2022 like 84,013 #96",551,217,334,0.6061705989110708,690,39,526,3,https://www.webtoons.com/en/action/teenage-mercenary/episode-95/viewer?title_no=2677&episode_no=96
teenage-mercenary,Teenage Mercenary,120,episode-000120-episode-119,"Episode 119 Jun 13, 2023 like 77,710 #120",527,189,338,0.6413662239089184,690,39,500,4,https://www.webtoons.com/en/action/teenage-mercenary/episode-119/viewer?title_no=2677&episode_no=120
teenage-mercenary,Teenage Mercenary,139,episode-000139-episode-138,"Episode 138 Oct 24, 2023 like 68,863 #139",538,203,335,0.6226765799256505,690,39,511,5,https://www.webtoons.com/en/action/teenage-mercenary/episode-138/viewer?title_no=2677&episode_no=139
teenage-mercenary,Teenage Mercenary,158,episode-000158-episode-157,"Episode 157 Mar 5, 2024 like 60,085 #158",529,193,336,0.6351606805293005,690,39,503,5,https://www.webtoons.com/en/action/teenage-mercenary/episode-157/viewer?title_no=2677&episode_no=158
teenage-mercenary,Teenage Mercenary,160,episode-000160-episode-159,"Episode 159 Mar 19, 2024 like 58,816 #160",527,191,336,0.6375711574952562,690,39,500,5,https://www.webtoons.com/en/action/teenage-mercenary/episode-159/viewer?title_no=2677&episode_no=160
teenage-mercenary,Teenage Mercenary,161,episode-000161-episode-160,"Episode 160 Mar 26, 2024 like 59,105 #161",528,191,337,0.6382575757575758,690,39,502,5,https://www.webtoons.com/en/action/teenage-mercenary/episode-160/viewer?title_no=2677&episode_no=161
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,"Episode 166 May 7, 2024 like 57,443 #167",532,197,335,0.6296992481203008,690,39,507,6,https://www.webtoons.com/en/action/teenage-mercenary/episode-166/viewer?title_no=2677&episode_no=167
teenage-mercenary,Teenage Mercenary,182,episode-000182-episode-181,"Episode 181 Aug 20, 2024 like 52,724 #182",521,183,338,0.6487523992322457,690,39,494,6,https://www.webtoons.com/en/action/teenage-mercenary/episode-181/viewer?title_no=2677&episode_no=182
