series_slug,series_name,episode_no,episode_slug,source_key,dest_key,size
teenage-mercenary,Teenage Mercenary,262,episode-000262-episode-261,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000262-episode-261/page-0102.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000262-episode-261__page-0102.jpg,145568
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0402.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0402.jpg,66132
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0298.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0298.jpg,109262
teenage-mercenary,Teenage Mercenary,160,episode-000160-episode-159,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000160-episode-159/page-0023.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000160-episode-159__page-0023.jpg,111372
eleceed,Eleceed,141,episode-000141-episode-141,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000141-episode-141/page-0077.jpg,datasets/pages/single/eleceed_manwa/episode-000141-episode-141__page-0077.jpg,137999
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0297.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0297.jpg,74354
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0401.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0401.jpg,83727
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0296.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0296.jpg,125931
teenage-mercenary,Teenage Mercenary,262,episode-000262-episode-261,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000262-episode-261/page-0103.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000262-episode-261__page-0103.jpg,172337
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0400.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0400.jpg,103120
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0295.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0295.jpg,86673
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0399.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0399.jpg,96974
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0294.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0294.jpg,78685
lookism,Lookism,112,episode-000112-ep-112-why-isnt-daniel-losing-weight,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000112-ep-112-why-isnt-daniel-losing-weight/page-0210.jpg,datasets/pages/single/lookism_manwa/episode-000112-ep-112-why-isnt-daniel-losing-weight__page-0210.jpg,44388
tower-of-god,Tower of God,255,episode-000255-season-2-ep-174,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000255-season-2-ep-174/page-0152.jpg,datasets/pages/single/tower-of-god_manwa/episode-000255-season-2-ep-174__page-0152.jpg,61040
tower-of-god,Tower of God,255,episode-000255-season-2-ep-174,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000255-season-2-ep-174/page-0151.jpg,datasets/pages/single/tower-of-god_manwa/episode-000255-season-2-ep-174__page-0151.jpg,62297
tower-of-god,Tower of God,270,episode-000270-season-2-ep-189,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000270-season-2-ep-189/page-0403.jpg,datasets/pages/single/tower-of-god_manwa/episode-000270-season-2-ep-189__page-0403.jpg,42153
tower-of-god,Tower of God,255,episode-000255-season-2-ep-174,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000255-season-2-ep-174/page-0150.jpg,datasets/pages/single/tower-of-god_manwa/episode-000255-season-2-ep-174__page-0150.jpg,71401
tower-of-god,Tower of God,255,episode-000255-season-2-ep-174,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000255-season-2-ep-174/page-0149.jpg,datasets/pages/single/tower-of-god_manwa/episode-000255-season-2-ep-174__page-0149.jpg,63465
