series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
omniscient-reader,Omniscient Reader,221,episode-000221-episode-220,"Episode 220 BGM Sep 16, 2024 like 106,731 #221",622,270,352,0.5659163987138264,800,9,599,7,https://www.webtoons.com/en/action/omniscient-reader/episode-220/viewer?title_no=2154&episode_no=221
omniscient-reader,Omniscient Reader,274,episode-000274-episode-273,"Episode 273 Sep 22, 2025 like 51,689 #274",663,314,349,0.526395173453997,800,9,642,8,https://www.webtoons.com/en/action/omniscient-reader/episode-273/viewer?title_no=2154&episode_no=274
omniscient-reader,Omniscient Reader,300,episode-000300-episode-299,"Episode 299 Mar 30, 2026 like 31,281 #300",673,320,353,0.524517087667162,800,9,649,9,https://www.webtoons.com/en/action/omniscient-reader/episode-299/viewer?title_no=2154&episode_no=300
teenage-mercenary,Teenage Mercenary,2,episode-000002-episode-1,"Episode 1 Jun 29, 2021 like 166,934 #2",640,301,339,0.5296875,690,39,612,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-1/viewer?title_no=2677&episode_no=2
teenage-mercenary,Teenage Mercenary,3,episode-000003-episode-2,"Episode 2 Jun 29, 2021 like 162,767 #3",681,345,336,0.4933920704845815,690,39,655,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-2/viewer?title_no=2677&episode_no=3
teenage-mercenary,Teenage Mercenary,5,episode-000005-episode-4,"Episode 4 Jul 6, 2021 like 157,794 #5",579,243,336,0.5803108808290155,690,39,553,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-4/viewer?title_no=2677&episode_no=5
teenage-mercenary,Teenage Mercenary,6,episode-000006-episode-5,"Episode 5 Jul 13, 2021 like 153,636 #6",613,277,336,0.5481239804241436,690,39,586,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-5/viewer?title_no=2677&episode_no=6
teenage-mercenary,Teenage Mercenary,9,episode-000009-episode-8,"Episode 8 Aug 3, 2021 like 152,950 #9",646,309,337,0.521671826625387,690,39,619,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-8/viewer?title_no=2677&episode_no=9
teenage-mercenary,Teenage Mercenary,18,episode-000018-episode-17,"Episode 17 Oct 5, 2021 like 143,662 #18",618,279,339,0.5485436893203883,690,39,592,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-17/viewer?title_no=2677&episode_no=18
teenage-mercenary,Teenage Mercenary,25,episode-000025-episode-24,"Episode 24 Nov 23, 2021 like 128,996 #25",631,288,343,0.5435816164817749,690,39,605,0,https://www.webtoons.com/en/action/teenage-mercenary/episode-24/viewer?title_no=2677&episode_no=25
teenage-mercenary,Teenage Mercenary,30,episode-000030-episode-29,"Episode 29 Dec 28, 2021 like 133,331 #30",626,280,346,0.5527156549520766,690,39,598,1,https://www.webtoons.com/en/action/teenage-mercenary/episode-29/viewer?title_no=2677&episode_no=30
teenage-mercenary,Teenage Mercenary,34,episode-000034-episode-33,"Episode 33 Jan 25, 2022 like 123,199 #34",607,264,343,0.5650741350906096,690,39,581,1,https://www.webtoons.com/en/action/teenage-mercenary/episode-33/viewer?title_no=2677&episode_no=34
teenage-mercenary,Teenage Mercenary,37,episode-000037-episode-36,"Episode 36 Feb 15, 2022 like 115,656 #37",599,259,340,0.5676126878130217,690,39,575,1,https://www.webtoons.com/en/action/teenage-mercenary/episode-36/viewer?title_no=2677&episode_no=37
teenage-mercenary,Teenage Mercenary,40,episode-000040-episode-39,"Episode 39 Mar 8, 2022 like 114,668 #40",597,254,343,0.5745393634840871,690,39,571,1,https://www.webtoons.com/en/action/teenage-mercenary/episode-39/viewer?title_no=2677&episode_no=40
teenage-mercenary,Teenage Mercenary,48,episode-000048-episode-47,"Episode 47 May 3, 2022 like 106,071 #48",586,247,339,0.5784982935153583,690,39,561,1,https://www.webtoons.com/en/action/teenage-mercenary/episode-47/viewer?title_no=2677&episode_no=48
teenage-mercenary,Teenage Mercenary,66,episode-000066-episode-65,"Episode 65 Sep 6, 2022 like 95,303 #66",552,217,335,0.6068840579710145,690,39,525,2,https://www.webtoons.com/en/action/teenage-mercenary/episode-65/viewer?title_no=2677&episode_no=66
teenage-mercenary,Teenage Mercenary,96,episode-000096-episode-95,"Episode 95 Dec 27, 2022 like 84,013 #96",551,217,334,0.6061705989110708,690,39,526,3,https://www.webtoons.com/en/action/teenage-mercenary/episode-95/viewer?title_no=2677&episode_no=96
teenage-mercenary,Teenage Mercenary,129,episode-000129-episode-128,"Episode 128 Aug 15, 2023 like 69,275 #129",536,201,335,0.625,690,39,511,4,https://www.webtoons.com/en/action/teenage-mercenary/episode-128/viewer?title_no=2677&episode_no=129
teenage-mercenary,Teenage Mercenary,156,episode-000156-episode-155,"Episode 155 Feb 20, 2024 like 58,669 #156",549,217,332,0.604735883424408,690,39,525,5,https://www.webtoons.com/en/action/teenage-mercenary/episode-155/viewer?title_no=2677&episode_no=156
teenage-mercenary,Teenage Mercenary,169,episode-000169-episode-168,"Episode 168 May 21, 2024 like 54,590 #169",532,199,333,0.6259398496240601,690,39,508,6,https://www.webtoons.com/en/action/teenage-mercenary/episode-168/viewer?title_no=2677&episode_no=169
